nombre,correo,password,rol,fecha_registro
Santiago William Durán,angelbernardo@example.org,$2b$12$lalK4BWg5JDt3AQYCPiwbuWfB9HOMDXtVXjOVh/FFw9J1vjcOdzgC,acudiente,2024-01-19
Fabio Luis López Sánchez,medinanohora@example.com,$2b$12$S5HoleRdiQnnQ3CQksMaIOh.nqnQExtjL0/BAL08fqUR5.gPZyxjS,admin,2024-03-06
David Álvarez,brangel@example.org,$2b$12$ut7VN5r4F7FTqxkxJZtotOko/zsVOv7Bc6yC/WZ5AeXgXOUGD19LC,acudiente,2025-02-08
María Patricia Benavides Acosta,dayana67@example.com,$2b$12$eAFvN867dQT0ZbqyYUEHZuWT/tN67k14KZ1VHDMnmn57xbjUyv..O,profesor,2024-11-27
Luis Daniel Jaimes,mariacuesta@example.com,$2b$12$m8heCk51cEapj.PTMBJ.k.V4M1Zl1hOmhFRJXOIJKOtTScivSU68i,acudiente,2025-05-10
Edilberto Jairo Mosquera,lorenamolina@example.org,$2b$12$.rtrf3hDjqsTViMslxsjHuJz12LNugVtjIubefbkrpl222I29gfKW,acudiente,2024-05-03
Laura Liliana Bermúdez,julian65@example.net,$2b$12$dFbasPOFb7TjG4eHjKuyYOZFp3btFa5Wq7mOBoazCFq8wX1dbP/bO,acudiente,2025-07-11
Luis Libardo Rojas,tovarjesus@example.net,$2b$12$5Y105w47UA2BLYlqCeAmd.OG6/gq.ET1FeLQpyJE9VqSMhoJRNdGW,profesor,2024-08-28
Luis Carlos Villa,cardonaalba@example.net,$2b$12$GZ4BV8jTeXFz.3wS6Bdao.Q9HOVh9PorB52uS118OWIw/7kUWD1u.,profesor,2023-12-21
Consuelo Lucía Sepúlveda Benavides,torokaren@example.net,$2b$12$1AsvBz7xW8Co5DXvpG692OTQXDF2OAExghyN0MVj7veDCQbyuRN1.,profesor,2023-11-11
María Patricia Cárdenas,xguzman@example.org,$2b$12$zUnUKyTbF64VLq8LaHGP0OigkpmJ46BVYS.v8domDTSXmXLmQAcrm,admin,2025-08-10
Patricia Alejandra Gómez Gutiérrez,rgonzalez@example.net,$2b$12$Y.XMqbm9aur.XQ32JPu02.dy8j4f9zIs/rDVs6Xh085mYGkJ/SK7i,acudiente,2025-03-13
Jhonatan Álvaro Sánchez Delgado,perezjoel@example.net,$2b$12$ztO3TMY0TwRqxBmi5c.hd.AOhcq.zN13q5tVgp4WtV.zqINLuyRWe,estudiante,2023-10-30
Bertha María Díaz Quintero,daniel22@example.net,$2b$12$IpzgltXBD0Fy5QkUl663j.ApXoc5VVA9zl7iHZw1P/T0LWl5YsNjm,estudiante,2024-08-09
Jorge Giraldo,rojasenrique@example.net,$2b$12$v6msCj0Ilyh9dUr4IbOtYedKyZw8/mjV8yamAfss5.xQxnkYF1r.y,estudiante,2025-03-05
Miguel Samir Castillo,carloslopez@example.net,$2b$12$X1qsAF8ZBkK8UeYX5gcPWuELa4GRP/2GvPyXC2MEbS8v7VStVAVZ6,acudiente,2024-07-14
Johana María Granados,esperanzamoreno@example.net,$2b$12$uL61Mn8uKHeii7lAxV0OdOlPBI184cWNrwI/iUhONq5vFA.qZwUxG,acudiente,2025-02-26
Dahiana Ordóñez Gil,ztamayo@example.net,$2b$12$LjTVEm6XnO42m.U0mxofAemPQbbA6FtOm3VK/OSgtBEkahzq.hdpa,estudiante,2024-09-29
Margarita Paula Ramírez Bustos,orlandomurillo@example.net,$2b$12$g6kMQn65BcufUNiHYPR7nOL8SZsXXs5c6bYr5uu7EsoR0ty4zFa1m,estudiante,2024-07-25
José Adrián Marín,santiago46@example.org,$2b$12$XN7WkY0TehNmSWDHq4Xve.Yk/sz/ooHsdVwZcAjx8C3tb1Th05Llu,admin,2023-12-12
Juan Henry Hernández,valeria69@example.net,$2b$12$xa0EexaXPvjz0fIzMX4eYu5nxZyHc1UBAy4Bx3oSzwEbl2.jOs4uq,profesor,2024-09-21
Yeison Ramírez Villamil,frestrepo@example.org,$2b$12$JpT19WkmwhFPCaINrf9WUepez/r587tYJszFHk3R1.28xvf1Ol6dK,estudiante,2024-07-15
Fernanda Bonilla,martharivera@example.com,$2b$12$ChtscTI2cPtJGb.Kfw4Q4eGdjFke/SMRxYdPvkQiNRLB9.PnzXowS,acudiente,2024-01-27
Karen Sandra Ceballos,juan38@example.org,$2b$12$54DYZudUP09XRztbVPCTiuxhTOsytH2pFyEWfZ1V0gB5Qpm.Uvwxi,estudiante,2024-03-23
Dario Caro Delgado,mezaalexandra@example.net,$2b$12$idFqJtxnozHfkgkh9YzCOexb1fag8WtZmKiE9DPtitE5UiDOdXOm2,profesor,2024-03-02
Margarita González,florezfanny@example.net,$2b$12$lNZ/zjy/Ff9P.bPspDvBNOfK11CErLxF//TUG9fEv/CJRI9ZLx6rO,profesor,2024-09-23
Juan Moreno Tovar,diego94@example.com,$2b$12$.ZBHNkgkAIWQ5Og4pq656OkjUd3QkGNLfFNDsBItcVUGK1tfMnIui,acudiente,2023-11-27
María Durán Vargas,ramon80@example.com,$2b$12$52m/Ompy51vR3/pcukYKBO.dWAeVkH3Hsn.A9QcdQdh6HbkP2thU2,profesor,2025-09-19
Gerson Jeisson Pinzón,diego95@example.com,$2b$12$kVeLtbkSo/deBkH3qPTfhumwkx/veUalJXFILRS4kyKG3SUNSqGEG,admin,2024-09-02
Alejandra Barrios Acosta,velascomaria@example.org,$2b$12$uPPJryUWpbIAXv3bx.uN2uupeDNRhVnLvH4.NBP7D2hx0h1K1Ahxi,profesor,2025-08-22
Esther Yuly Sánchez,daniel01@example.net,$2b$12$u5EqayHFEnzq2KjLNI5PD.yUKYeRZu9vI0BTg.fjecnq.Xh.1TP36,estudiante,2025-09-09
Natalia Wendy Vera Benítez,sanchezgustavo@example.net,$2b$12$7LkEd8R7053RodXoozzwL.ZUKAzAesbeJ/EhVNrfYiMDMswGQggii,admin,2024-03-09
Edwin Arias González,andreyvega@example.net,$2b$12$70Di0dRJHabD6087GT./mus4deL/WrW3E0yH/UiGkJE8Ka9/nHjSa,estudiante,2023-12-17
Ana Rivera Melo,brios@example.net,$2b$12$LNg3nF4ysuCx2gPb4hsyy.Wt8eE0QoUWjpL1FNIFfKwnkn2jCGpGu,estudiante,2024-05-23
José Carlos Cardona Bohórquez,psuarez@example.com,$2b$12$3uYgMzMN3ZzQHVKAvSjULejt/GEA5U.67IyAjPLqGHrgHuGuYydxG,acudiente,2023-11-28
Laura Elizabeth Martínez,gilpatricia@example.net,$2b$12$raHR6ouJPTPI0Lb8xrdAv.a3S.sITo7rM/Ka9LCre4124SvJXDnuu,profesor,2025-05-21
Javier Pinzón,ugarcia@example.net,$2b$12$fdx07SKQ1sin.0BDm/j2ION5PeT2hgJCj4YFLa4aoEfrQRlERc8jW,profesor,2025-03-06
Milena Mesa León,londonostiven@example.net,$2b$12$ixD.x9g7.jyKuc3JAO4xwuFwZ74R4kVWIEpDzT27upj7T.EEt.29e,admin,2024-07-27
Elisa Deyanira Melo,amosquera@example.org,$2b$12$4aMcwDMHYODNV1ljyAIrFOA9Slr.3hjHN5Uks6YwKpGEZjVfkmOr.,acudiente,2025-05-17
Nelly Muñoz,dayana23@example.net,$2b$12$lMfGYX1.EIyBv1.JWGFR2OuyhGuzN8BD6QETMJacVroUKG.6YvR8m,profesor,2024-07-23
María Esther Maldonado Cardona,msierra@example.org,$2b$12$5rYsmDBki0BKnza37Pq/COfR/1J1CxSZsDIxvzkf27w48AoEBTbgW,estudiante,2024-08-10
María Martínez,uuribe@example.com,$2b$12$gHzxtdYLvwx4yONtQ661lOOWrLx0rYtGMqaG7y/fYHHIrzEjtC/6O,estudiante,2025-02-08
Nancy Sánchez Gutiérrez,jhon09@example.org,$2b$12$1fOAtvwlUHsZpzdsY/43g./yyRuOoV5ynDlviwJm3quLxR805uAm.,acudiente,2024-04-26
Lucía Moreno Méndez,pcastro@example.net,$2b$12$4l/y/wCAM4l4y/zQg3X2xuCW4Y5VqBLKWQ4GeZFBGsswdGR1wKKHm,profesor,2024-01-02
Cecilia Solano Herrera,morenoandres@example.org,$2b$12$n4nxqdwu48x6b4FglmE3GehHxk9.Rk6ccWsBJeixuIIM1VXJ74pva,acudiente,2024-07-19
Alexis Humberto Rodríguez,ernestobermudez@example.com,$2b$12$aia6imbMeZd3peef4PNe2.Osj/ben.mSeckIfkzeFyY9NOqe7R9Gq,acudiente,2024-07-13
Manuel Juan Delgado González,mary44@example.org,$2b$12$S57wKERqY0SLBFn0CdAI3.eNtSWt0iDH.C3yD4PhtdkIpaP4dqYyy,admin,2024-07-15
Yerson Martín Rueda,valeria69@example.org,$2b$12$SPmzfaSSjvi3KsDJsFxx8.AJ695NpCoHft5g7ass8VAuBJAvk7O6W,acudiente,2025-03-10
Edward Meza Navarro,zapataana@example.net,$2b$12$Yaa4KsL0h19brqmiUd8GBedE0c1CcX0pyFhX4YKI3yFXaqtY9nCIO,acudiente,2025-06-30
Víctor Flórez Correa,jhonbermudez@example.org,$2b$12$PTPGud/7VvtI7r.x5eIrQeFOcj1ZiXbeLWrRknL6hJFkJM/nPKH9C,profesor,2024-11-23
Marcela Liseth Sánchez,elvia43@example.com,$2b$12$8mEqnOod.lQJSEqwRKW04..MQuevl2r8MkSXdXfPo.xY75ko9tlx6,admin,2025-01-10
Ignacio Jaimes Andrade,sandra45@example.org,$2b$12$wsuMt3kENB5MFos.bWFxoOOal4MoFOiAPlVwUD7V7i1G2/eKZwLw2,profesor,2024-02-13
Daniel Santiago Páez Serna,fernandeznohora@example.net,$2b$12$zI7WS6shQAyzFAAjmyHdHO8.x0XSSJ/8JOeojbSDG/l.WBcOopL7y,acudiente,2023-12-26
Vanessa Adriana Henao Gómez,earias@example.org,$2b$12$mLjOoXDz5xvgZ7bGzt6sWuC/6QqOeyrbhkfArDtKmwtr83JyP3rvu,acudiente,2024-06-21
Milena Gómez,diazdary@example.net,$2b$12$R/obnRxfoDdu6P8f.BtO1.YTvH851Z5RcrfMFAQ2jfqhtO.8vyzQa,profesor,2025-04-06
Elkin Rodríguez Ochoa,salazarvictor@example.com,$2b$12$ydXSTGt3YoVIukUq78bLheUTVB0KImDDSJR502SLSNmubkDOpkvnG,acudiente,2025-09-07
Diego Adrián Herrera,martinezjohn@example.net,$2b$12$DIZHqKp7akzw37TQs7d1lexBNj7Xm8SDqWLNAvP6xUXVBXRB5KU.S,admin,2024-03-31
Santiago José Arias,robinson79@example.net,$2b$12$sEnW3uHJEHNv7F5olfGCzOpisOHPv89RbOSwbfSYXSkJR7Ra/ttVy,estudiante,2023-11-11
Junior Bryan Álvarez Palacios,narvaezangela@example.org,$2b$12$FM7o7Ni6G6wH5byaA5QtO.oObKees98oAUyO4EKvcDKTqsXcTRCx6,admin,2024-06-06
Jenny Ojeda,viviana48@example.net,$2b$12$qDXL1T8Tw8yz2Sjuh4AX.O.s2gapDHuR6TGgxHtIpsGzqMQ3Finfm,acudiente,2025-03-19
Catherine Barreto,gustavo39@example.com,$2b$12$ZETtFlCUKoV8rhFO/YmC8uhLByDr9toVNY7e7kiBgMCvQN5Hy8NDC,acudiente,2024-08-09
Andrés Alexis Ortiz,dperez@example.net,$2b$12$7X5MIT./8ySR97lhgOUXoe.hAuQUjSEtCqAg2eS.GvcOsmjUYlPb.,profesor,2024-02-04
José Cardona,inescordoba@example.org,$2b$12$27z.WS5yMbL16XI51a.1s.bilnPJhBQ.qQp4J883UEZ44ExbGEnDG,estudiante,2025-03-20
Manuel Espitia,jesusvelez@example.com,$2b$12$LHcsOKHQMG93ZcytJhx0ZOQhAOJibAX2qHY0aridZ/JqZLHz2x9Da,profesor,2024-11-15
Gregorio Eugenio Arroyo,diegomartinez@example.com,$2b$12$oPN2LGhR1fRvnAMZl.Bd4OQwS9Eq3uYmZxWaf8hrcGT.I3pGb75MS,acudiente,2025-07-04
Gloria Paola Díaz Rodríguez,luz18@example.com,$2b$12$dmzDnjpJaV.YfELELdYaH.FhR/t3g.lnVSrQYUBpfZdJ.aRiePBZG,profesor,2025-09-23
Alexander Rentería,miguel30@example.net,$2b$12$xgb70RZmaCwDbVr0HpFqwOJhdYv8uQOQB.elXDWtmU.Ullx5MDwl6,profesor,2025-01-01
José García,raul94@example.com,$2b$12$G5n5F8Q.t4JeLuJeYafVLu22HevfCYPCe5kCWWrjb.HuVHwRgnYie,profesor,2023-11-05
Javier Manuel Ortiz,juan40@example.com,$2b$12$uHQ3vRbaLEb2WuaD3OZW4eU.FK4QUfExxexDYNeJsVUJ2qs17lkQ2,acudiente,2025-03-25
Augusto César Martínez Rubio,alejandrabravo@example.org,$2b$12$vMKgxl5nAPWpr7r95zbx3OLP47Y4gOe2hokft7p5ehmKRRLiszyqO,acudiente,2025-01-10
Johan Bustamante,kherrera@example.com,$2b$12$Vavp/Ca8M.pa4cGPKxZPW.fW7NqBpTuRkyMuOP0OncAZz5ZcKXZgG,estudiante,2024-05-11
Fabio Alejandro Sarmiento,jairo74@example.net,$2b$12$O1fITU2V8KLRArOA0YsJfeQX7Mdy0GXMbAg0iSfPaY1RkKfghfD12,profesor,2025-05-27
César Polo Salamanca,mariarojas@example.net,$2b$12$DVR.8MmpAAIprvnZ2UHsyOy7Pxxf6Fpxq5O6PvyAjeeAAeE3NFvdK,estudiante,2024-04-25
Francisco Andrés Rodríguez Arévalo,paezjeferson@example.net,$2b$12$DzN/rwhNWSFMO6l2HiF7cehzybxG8DLGmW8hdebnpER1oGnEm4nq.,acudiente,2023-10-22
Yaneth Ester Palacio Díaz,mperea@example.net,$2b$12$e8S6XZUF2ElVFedPc9QJjulXHnW31oNCY3LfbaZsLnKmLQfQew2ue,estudiante,2025-03-21
Carolina Silva Henao,jose13@example.org,$2b$12$2TCc6vEv8o39jknq4yjvI.enabZSTCDSoCfcAUG3KqhrylGfJBgKm,estudiante,2023-11-09
María Cristina Salazar Carrillo,cabreraantonio@example.net,$2b$12$vsdozRFTxiv3yyQ98pktjONZJILa5ZEuvISZEGyIFoN2svPrCsuAO,admin,2024-07-10
Samuel Hernández,hurtadolina@example.org,$2b$12$jv2cPwrhCqyXUc0O5BENoO0PN0mYxl3yv1r07C.1kWxeY37pMHtt2,estudiante,2025-09-20
Javier Diego Castro,burbanoalex@example.com,$2b$12$OZJIAELxqgCCVbUX8tZjReNgdGZMTGS3wfYRHsGUNN1goWY5V59NS,estudiante,2025-07-31
Jeisson Diego Vargas,juan63@example.org,$2b$12$O2K06LOyMqDeJ4PYHXWz4u8GoizdQfx3zDRE7IKeuFGO3AYi9emN2,profesor,2025-07-13
Mauricio Cantillo,santiago52@example.com,$2b$12$9wrpxal9Gq11zFRRTu18oubAwdYEo0wAL1Wu0XVis0c3F.vZ4T7KO,profesor,2024-12-31
Augusto Londoño,rcordoba@example.org,$2b$12$vbfumYPQk4KAi4WxYGsRq.UPUhS6UD5C17k/HZEG7ts/EKDGeayJy,admin,2025-04-17
María Muñoz,rinconisabel@example.com,$2b$12$G3WGAAAQFkXVfLJoqKNJsOxsHxTj/fudDKttVYeAM3B1dJJdHx2dS,acudiente,2024-11-01
María Adriana Álvarez Beltrán,xojeda@example.net,$2b$12$C/0bPFeKqbTBNjKLi74X4ez.lVDtIijg9aWCGCuG0N84GIqXVehy2,profesor,2024-04-25
Nilson Tulio Rodríguez Jiménez,javier19@example.net,$2b$12$DMevpDvAu2kMGKxxr69so.s7qRbrMT0Az5//sjCptBn3helo/3HYG,acudiente,2024-11-02
Angélica Yeimy Guzmán,antonio21@example.net,$2b$12$5DT5wvu9IQ.b9N5dkj/EFeha23DZcTaJu8GOBNwukZt94u22mZx9C,admin,2024-05-17
Marcela María González Giraldo,kleal@example.org,$2b$12$9HQU8VmJ5O4Lg5kShEEqIesER76DJRV2ItfE/lvzV4zKSIgDNGisS,estudiante,2024-07-10
Pablo Alberto Castellanos,rodriguezjuan@example.com,$2b$12$DT4QLsasYDeeIFIfp0xSGurvNHd2uAQBTqfuX1Hnei6zbRHFdjpeK,acudiente,2024-01-17
Lucía Patricia Silva Calderón,lrodriguez@example.net,$2b$12$T/JHwuA3ZWhUuvwPPHmb3ejtOZJGiK0uQrak1gF9w525L0O5FTRg2,acudiente,2024-09-10
Esperanza Gloria Rojas Moreno,kvargas@example.org,$2b$12$0Ja1cACFuGgSef3Zq1nnYOHwLp1U79lq2yAHAS6y0Z.6Db2L119tu,estudiante,2025-09-12
Marcela Rocío Fajardo Giraldo,gerardoorozco@example.net,$2b$12$aF8h05QzBrlMKWwQ2VAISOOtMLMrSaPzW6y65g.5euxXFLKY6/Oeu,acudiente,2025-05-30
Miller González,sgarcia@example.net,$2b$12$mZDDDMQ9zjqCRejhGfFM8OJmFCTPKG3i9vSvJZbNCIz8i83Hsl7G2,acudiente,2023-11-22
Luisa Arango Gutiérrez,ivonneojeda@example.net,$2b$12$3Ppoc.gkLcFw1LqFsbeK6uLNguAGJOkY4fdUbEsC4FFILynfolcne,estudiante,2024-08-30
María Mayerly Morales Castro,edilma66@example.org,$2b$12$JGiI.ddYASECs7Cop628POUJy.eFEmAUySENcdBR99kHYi3FW9O0W,estudiante,2024-08-26
María Esther Franco,ariaslorena@example.com,$2b$12$qoVhMqx2T4YIav18hBki9uHKsNlj68sYxG.UMKi6bkuom3CkHV6Hi,profesor,2025-03-28
Gloria García,arizadavid@example.net,$2b$12$jcNmbl2P4fYifGVOxeV/u.WwvvwLMKri8yh2YECn2bFBBMk3EJDaS,profesor,2024-06-14
Nelson Luis Hernández Zapata,tbohorquez@example.com,$2b$12$FeiYAYidpQhwhsVHSVDf6.AB5BdDYmlvyBO4RUjNSK/Cx1KJLo2ye,estudiante,2024-10-19
Diana Vargas Moreno,juanrios@example.net,$2b$12$iF7e/UYAzA8wcVm0eq7rT.bqzTjFlDYgysipHUFWktYKyVB7D9pRS,acudiente,2025-01-29
David Ayala Rodríguez,juanmolina@example.org,$2b$12$CM2eb2blab9yStfwcdDFTed0t12tqT0vdVs8zNye00BSzgugYTk32,admin,2025-01-02
Álvaro Fernández Arias,xmiranda@example.org,$2b$12$M8/Do2IrtnrYW.aWxkC5puBugv/dScNA7AcALr59sxmlAdq9JekFu,acudiente,2025-08-16
Lizeth Sanabria Ruiz,yacosta@example.com,$2b$12$Vi3Bw1qp57C75FH7uidrs.CrKsWvKzNoa4uTa64y2.ccL07EE0vUq,admin,2023-12-20
Luis Wilmar Díaz Bastidas,jimena14@example.com,$2b$12$2WQDnhhG9fG09eFz5hP8Y.LhaMR6fmNzGP1P/PqX/noWWge/tbtQq,profesor,2024-04-12
Ligia Lorena Tovar,hvargas@example.com,$2b$12$WHm5S1ZR6OwoouUa9vU8J.R/G5xXpZZfSKcXM3frXgtoMBKJJMzhm,estudiante,2024-04-06
Iván Vásquez Sánchez,alvarezenrique@example.net,$2b$12$6hxVGL/NoOcL3fJ0V31VQeh24JA3KsaSuKzvqHcvRHyr3TPP9l5Oy,profesor,2024-02-09
Óscar Juan Toro,nvillamil@example.org,$2b$12$ty8HT4rdEhd80fys4ZTElu18sLE7MfYS5RyArfKRBYpPo5AanlgO2,profesor,2024-02-07
Eugenia Pinzón Moreno,diego23@example.org,$2b$12$H0qvOOuWqD7EugxeKGcwNO3ZqUJE2yx1FFxXzCYrYN2bt5raJPDFS,admin,2023-10-03
Juan Javier Hernández Galeano,gonzalezdiego@example.com,$2b$12$edhBK81IYcjE4DkYRpqZQu.WeAi3RSrcdNt7dipDBAyv/WwbcBlBq,acudiente,2025-02-11
Manuel Gómez,jairogalindo@example.net,$2b$12$rApSTh6ygA2qRefoeiX/deZKFhvOYmSJPfiMAEUp.C78v3v5Ihgtm,profesor,2024-06-16
Margarita Rivera Moreno,christianespinosa@example.com,$2b$12$CXrELX0HkpsXdrN1tLbCQe3wEpk3GGN.fEeE6LX5xAzNJvb/5QSqO,estudiante,2023-10-27
Karen Alexandra Ruiz,paola77@example.net,$2b$12$WpHjwAK3Th.ebg70hQpBuOg62/s1HZvQQ5WouVD.A4ZhG.rCyaCN6,admin,2025-04-23
Luz Salgado,carlos23@example.org,$2b$12$aKsWSbmLlaufRDuxUeTIqugCkFuc0vun.ey/uVc4fMpV1f68seE3S,estudiante,2025-01-06
Sergio John Chacón,jjimenez@example.org,$2b$12$dUpAeXumwEqzEDrsOqKpH.mWJ2vt6vjshIvd73Y.WuoJ1Nfr9E9sK,acudiente,2025-09-03
Fernando Rendón Arango,mvelasquez@example.net,$2b$12$YmlAeIh7kB2lfgxfc7gVPOtU7nNBbV2XMGpqBQ3CxiTy2LSQ/tigS,acudiente,2025-07-07
Andrés Martínez,rgomez@example.com,$2b$12$.beg/WO6ZYjTrk3KW6xx7eu5KdGnK0nQTgqAcOLWObmhkLWZm65cS,profesor,2025-08-23
Luz Hurtado Hernández,yesenia80@example.org,$2b$12$6ZBu8QRce2uINMA5jVKtf.7dpgeiWAQw4KI78AhpF5fwIC1sfUCda,acudiente,2024-05-12
Tatiana Bonilla Zapata,ttorres@example.net,$2b$12$ynbca.EMU5PbIHsF5CfPAedhRsf3tJuyLar1tV1Yozr8OJY6e/gQq,acudiente,2025-06-18
Mireya María Moreno,tpatino@example.org,$2b$12$EfaG3tnMlXnA/k6F5IAyGuwFpwkP7X.kzx.SlzcQNg/JS0O8XCVG2,profesor,2025-01-06
Olga Luz Murillo Castillo,gsilva@example.com,$2b$12$XGohBgEjZe2tS4srvWrZCOzOK0UdtOZFAC9mFXN4AOy7hjmnoh6.y,profesor,2024-03-27
Andrea Martínez Duque,aliriopinto@example.com,$2b$12$pwsnOpDLKzvpRfxusF5bpuSlJqtFcwCErphiEQAYngebjWtiiMSx.,acudiente,2024-01-15
Alfredo Ramírez,consueloamaya@example.org,$2b$12$rMifmyOR7sitA1Q5B9cvYek8MhUIuGcNHg7ck/snV00jAC/5MU/.C,profesor,2024-01-23
Manuel Jesús Cano,isabelguerrero@example.org,$2b$12$Ri9pG8KnhA5Pq3pqaAbWu.ZVaLfINX49QMXNq21Imk932Qq7vMrPG,admin,2024-01-06
Fernando Jhon Guevara Díaz,hgarcia@example.org,$2b$12$Uui9/VHN7.CHjjVAS0YZYe8Z/M0bOF3etAZvBJIRoCQc2wbmpppcW,profesor,2024-01-27
Sara Ruiz,ivansalamanca@example.org,$2b$12$3SKUbMTGIpevevsSefcWUOgiXkFqmq5XkdcCvFefA9F6i5Nuq7LaS,profesor,2025-05-15
Liliana Maricela Valencia Rodríguez,lmendoza@example.org,$2b$12$ZytdEZIrai.jYio0IUqo2uHESzWIELDE4ULvNLXrnqJfAM462U5cG,profesor,2024-05-06
Gabriel Vanegas,bsalazar@example.org,$2b$12$tqQzV3MRTAMoi2m1.ruxa.vBGWDiKcE6FJB7JsdtTnub4z6r0XmgO,acudiente,2023-12-04
Jeferson Miguel Barrera,carmen53@example.org,$2b$12$I5J34inVxAmgdQK4EXyGA.InMAncFuWsyYP7hoyFS1Jsa6AjkAy2i,admin,2025-08-04
José Gerson Soto Flórez,lucia74@example.net,$2b$12$fGBg9l115nWElXzONK7qSunO3ND4H81LhZaK07SEYdvp0QW.1nkqq,admin,2025-05-31
Eliecer Carlos Díaz,rceballos@example.com,$2b$12$eZKhEU7RAsFckovtn4ZJ8.EHbEfVg/YfLVPOOiqAL2mXTX8c7hAa6,estudiante,2025-03-12
Roberto Ernesto Peña Ceballos,acevedoluis@example.com,$2b$12$5XQ8MeJNAJA5gJZYd14gp.47.QP64.rUz3jOr/gzLokoLRkT42kM6,acudiente,2024-07-29
Daniela Diana López,alfredo40@example.org,$2b$12$vWCeaIeb7EDFpBCQf22JvehyY946DoCvxdhgofXeAJi4/HxYf.icm,admin,2025-03-23
Valentina Naranjo,xsolano@example.com,$2b$12$1zbC4xYDwG1wPkaF2NKMN.psrHrCs303UJv3a7sVIyEFuNL9Q3Gy6,estudiante,2023-12-31
Lucía Bohórquez,suarezjulian@example.com,$2b$12$Et7YWk0jb.UtUw6t9K5ZmuKDPvLrZjjZXUFidyGC8KkvDuImH2Wyu,admin,2024-05-14
